Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12
2048,1024,512,2304,1152,576,2336,3216,1608,804,2450,3273
2048,1024,512,2304,1152,576,2336,3216,1608,2852,1426,713
2048,1024,512,2304,1152,576,2336,3216,1608,2852,1426,2761
2048,1024,512,2304,1152,576,2336,3216,1608,2852,3474,1737
2048,1024,512,2304,1152,576,2336,3216,1608,2852,3474,3785
2048,1024,512,2304,1152,576,2336,3216,3656,1828,914,457
2048,1024,512,2304,1152,576,2336,3216,3656,1828,914,2505
2048,1024,512,2304,1152,576,2336,3216,3656,1828,2962,1481
2048,1024,512,2304,1152,576,2336,3216,3656,1828,2962,3529
2048,1024,512,2304,1152,576,2336,3216,3656,3876,1938,969
2048,1024,512,2304,1152,576,2336,3216,3656,3876,1938,3017
2048,1024,512,2304,1152,576,2336,3216,3656,3876,3986,1993
2048,1024,512,2304,1152,576,2336,3216,3656,3876,3986,4041
2048,1024,512,2304,1152,2624,1312,656,328,164,82,41
2048,1024,512,2304,1152,2624,1312,656,328,164,82,2089
2048,1024,512,2304,1152,2624,1312,656,328,164,2130,1065
2048,1024,512,2304,1152,2624,1312,656,328,164,2130,3113
2048,1024,512,2304,1152,2624,1312,656,328,2212,1106,553
2048,1024,512,2304,1152,2624,1312,656,328,2212,1106,2601
2048,1024,512,2304,1152,2624,1312,656,328,2212,3154,1577
2048,1024,512,2304,1152,2624,1312,656,328,2212,3154,3625
2048,1024,512,2304,1152,2624,1312,656,2376,1188,594,297
2048,1024,512,2304,1152,2624,1312,656,2376,1188,594,2345
2048,1024,512,2304,1152,2624,1312,656,2376,1188,2642,1321
2048,1024,512,2304,1152,2624,1312,656,2376,1188,2642,3369
2048,1024,512,2304,1152,2624,1312,656,2376,3236,1618,809
2048,1024,512,2304,1152,2624,1312,656,2376,3236,1618,2857
2048,1024,512,2304,1152,2624,1312,656,2376,3236,3666,1833
2048,1024,512,2304,1152,2624,1312,656,2376,3236,3666,3881
2048,1024,512,2304,1152,2624,1312,2704,1352,676,338,169
2048,1024,512,2304,1152,2624,1312,2704,1352,676,338,2217
2048,1024,512,2304,1152,2624,1312,2704,1352,676,2386,1193
2048,1024,512,2304,1152,2624,1312,2704,1352,676,2386,3241
2048,1024,512,2304,1152,2624,1312,2704,1352,2724,1362,681
2048,1024,512,2304,1152,2624,1312,2704,1352,2724,1362,2729
2048,1024,512,2304,1152,2624,1312,2704,1352,2724,3410,1705
2048,1024,512,2304,1152,2624,1312,2704,1352,2724,3410,3753
2048,1024,512,2304,1152,2624,1312,2704,3400,1700,850,425
2048,1024,512,2304,1152,2624,1312,2704,3400,1700,850,2473
2048,1024,512,2304,1152,2624,1312,2704,3400,1700,2898,1449
2048,1024,512,2304,1152,2624,1312,2704,3400,1700,2898,3497
2048,1024,512,2304,1152,2624,1312,2704,3400,3748,1874,937
2048,1024,512,2304,1152,2624,1312,2704,3400,3748,1874,2985
2048,1024,512,2304,1152,2624,1312,2704,3400,3748,3922,1961
2048,1024,512,2304,1152,2624,1312,2704,3400,3748,3922,4009
2048,1024,512,2304,1152,2624,3360,1680,840,420,210,105
2048,1024,512,2304,1152,2624,3360,1680,840,420,210,2153
2048,1024,512,2304,1152,2624,3360,1680,840,420,2258,1129
2048,1024,512,2304,1152,2624,3360,1680,840,420,2258,3177
2048,1024,512,2304,1152,2624,3360,1680,840,2468,1234,617
2048,1024,512,2304,1152,2624,3360,1680,840,2468,1234,2665
2048,1024,512,2304,1152,2624,3360,1680,840,2468,3282,1641
2048,1024,512,2304,1152,2624,3360,1680,840,2468,3282,3689
2048,1024,512,2304,1152,2624,3360,1680,2888,1444,722,361
2048,1024,512,2304,1152,2624,3360,1680,2888,1444,722,2409
2048,1024,512,2304,1152,2624,3360,1680,2888,1444,2770,1385
2048,1024,512,2304,1152,2624,3360,1680,2888,1444,2770,3433
2048,1024,512,2304,1152,2624,3360,1680,2888,3492,1746,873
2048,1024,512,2304,1152,2624,3360,1680,2888,3492,1746,2921
2048,1024,512,2304,1152,2624,3360,1680,2888,3492,3794,1897
2048,1024,512,2304,1152,2624,3360,1680,2888,3492,3794,3945
2048,1024,512,2304,1152,2624,3360,3728,1864,932,466,233
2048,1024,512,2304,1152,2624,3360,3728,1864,932,466,2281
2048,1024,512,2304,1152,2624,3360,3728,1864,932,2514,1257
2048,1024,512,2304,1152,2624,3360,3728,1864,932,2514,3305
2048,1024,512,2304,1152,2624,3360,3728,1864,2980,1490,745
2048,1024,512,2304,1152,2624,3360,3728,1864,2980,1490,2793
2048,1024,512,2304,1152,2624,3360,3728,1864,2980,3538,1769
2048,1024,512,2304,1152,2624,3360,3728,1864,2980,3538,3817
2048,1024,512,2304,1152,2624,3360,3728,3912,1956,978,489
2048,1024,512,2304,1152,2624,3360,3728,3912,1956,978,2537
2048,1024,512,2304,1152,2624,3360,3728,3912,1956,3026,1513
